IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:26.000000, arriveTime:27.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:13.000000, arriveTime:27.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:14.000000, arriveTime:27.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:14.000000, arriveTime:27.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:22.000000, arriveTime:28.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:14.000000, arriveTime:28.000000
IntervalTime:18.000000, sinkNodeId:27, sId:2, startTime:10.000000, arriveTime:28.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:15.000000, arriveTime:28.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:29.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:7.000000, arriveTime:29.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:16.000000, arriveTime:29.000000
IntervalTime:28.000000, sinkNodeId:27, sId:2, startTime:1.000000, arriveTime:29.000000
IntervalTime:28.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:29.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:30.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:9.000000, arriveTime:30.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:17.000000, arriveTime:30.000000
IntervalTime:29.000000, sinkNodeId:27, sId:2, startTime:1.000000, arriveTime:30.000000
IntervalTime:13.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:30.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:27.000000, arriveTime:31.000000
IntervalTime:15.000000, sinkNodeId:27, sId:2, startTime:16.000000, arriveTime:31.000000
IntervalTime:19.000000, sinkNodeId:27, sId:2, startTime:12.000000, arriveTime:31.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:5.000000, arriveTime:31.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:27.000000, arriveTime:32.000000
IntervalTime:15.000000, sinkNodeId:27, sId:2, startTime:17.000000, arriveTime:32.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:11.000000, arriveTime:32.000000
IntervalTime:17.000000, sinkNodeId:27, sId:2, startTime:15.000000, arriveTime:32.000000
IntervalTime:13.000000, sinkNodeId:27, sId:1, startTime:19.000000, arriveTime:32.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:28.000000, arriveTime:33.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:11.000000, arriveTime:33.000000
