time:4.000000, iSource:13, iSink:6, capacity:16.000000
time:4.000000, iSource:13, iSink:12, capacity:1.000000
time:4.000000, iSource:13, iSink:14, capacity:3.000000
time:4.000000, iSource:15, iSink:3, capacity:67.000000
time:4.000000, iSource:15, iSink:11, capacity:1.000000
time:4.000000, iSource:15, iSink:14, capacity:48.000000
time:4.000000, iSource:2, iSink:1, capacity:1.000000
time:4.000000, iSource:2, iSink:27, capacity:17.000000
time:4.000000, iSource:2, iSink:3, capacity:1.000000
time:4.000000, iSource:2, iSink:5, capacity:25.000000
time:4.000000, iSource:25, iSink:3, capacity:1.000000
time:4.000000, iSource:25, iSink:24, capacity:44.000000
time:4.000000, iSource:25, iSink:23, capacity:1.000000
time:4.000000, iSource:25, iSink:26, capacity:25.000000
time:4.000000, iSource:25, iSink:27, capacity:7.000000
time:4.000000, iSource:26, iSink:3, capacity:1.000000
time:4.000000, iSource:26, iSink:23, capacity:1.000000
time:4.000000, iSource:26, iSink:25, capacity:26.000000
time:4.000000, iSource:17, iSink:16, capacity:1.000000
time:4.000000, iSource:17, iSink:19, capacity:1.000000
time:4.000000, iSource:17, iSink:20, capacity:1.000000
time:4.000000, iSource:17, iSink:21, capacity:1.000000
time:4.000000, iSource:24, iSink:21, capacity:53.000000
time:4.000000, iSource:24, iSink:27, capacity:1.000000
time:4.000000, iSource:24, iSink:25, capacity:1.000000
time:4.000000, iSource:1, iSink:2, capacity:16.000000
time:4.000000, iSource:1, iSink:5, capacity:25.000000
time:4.000000, iSource:1, iSink:8, capacity:7.000000
time:4.000000, iSource:8, iSink:1, capacity:1.000000
time:4.000000, iSource:8, iSink:5, capacity:86.000000
time:4.000000, iSource:8, iSink:9, capacity:10.000000
time:4.000000, iSource:8, iSink:11, capacity:10.000000
time:4.000000, iSource:8, iSink:12, capacity:1.000000
time:4.000000, iSource:12, iSink:8, capacity:1.000000
time:4.000000, iSource:12, iSink:11, capacity:2.000000
time:4.000000, iSource:12, iSink:13, capacity:1.000000
time:4.000000, iSource:12, iSink:18, capacity:1.000000
time:4.000000, iSource:11, iSink:8, capacity:61.000000
time:4.000000, iSource:11, iSink:10, capacity:1.000000
time:4.000000, iSource:11, iSink:12, capacity:1.000000
time:4.000000, iSource:11, iSink:15, capacity:37.000000
time:4.000000, iSource:11, iSink:16, capacity:36.000000
time:4.000000, iSource:16, iSink:11, capacity:1.000000
time:4.000000, iSource:16, iSink:17, capacity:1.000000
time:4.000000, iSource:16, iSink:18, capacity:75.000000
time:4.000000, iSource:16, iSink:19, capacity:9.000000
time:4.000000, iSource:19, iSink:16, capacity:1.000000
time:4.000000, iSource:19, iSink:17, capacity:1.000000
time:4.000000, iSource:19, iSink:18, capacity:1.000000
time:4.000000, iSource:19, iSink:20, capacity:1.000000
time:4.000000, iSource:20, iSink:17, capacity:1.000000
time:4.000000, iSource:20, iSink:18, capacity:1.000000
time:4.000000, iSource:20, iSink:19, capacity:9.000000
time:4.000000, iSource:9, iSink:8, capacity:22.000000
time:4.000000, iSource:9, iSink:10, capacity:1.000000
time:4.000000, iSource:18, iSink:12, capacity:13.000000
time:4.000000, iSource:18, iSink:16, capacity:1.000000
time:4.000000, iSource:18, iSink:20, capacity:34.000000
time:4.000000, iSource:18, iSink:19, capacity:1.000000
time:4.000000, iSource:10, iSink:9, capacity:1.000000
time:4.000000, iSource:10, iSink:11, capacity:1.000000
time:5.000000, iSource:7, iSink:6, capacity:1.000000
time:5.000000, iSource:7, iSink:14, capacity:5.000000
time:5.000000, iSource:22, iSink:3, capacity:54.000000
time:5.000000, iSource:22, iSink:21, capacity:95.000000
time:5.000000, iSource:22, iSink:23, capacity:1.000000
time:5.000000, iSource:22, iSink:27, capacity:1.000000
time:5.000000, iSource:6, iSink:3, capacity:1.000000
time:5.000000, iSource:6, iSink:5, capacity:10.000000
time:5.000000, iSource:6, iSink:4, capacity:1.000000
