time:46.000000, sinkNodeId:27, sId:1, number:1
time:46.000000, sinkNodeId:27, sId:1, number:1
time:46.000000, sinkNodeId:27, sId:1, number:1
time:47.000000, sinkNodeId:27, sId:1, number:1
time:47.000000, sinkNodeId:27, sId:1, number:1
time:47.000000, sinkNodeId:27, sId:1, number:1
time:47.000000, sinkNodeId:27, sId:1, number:1
time:48.000000, sinkNodeId:27, sId:1, number:1
time:48.000000, sinkNodeId:27, sId:2, number:1
time:48.000000, sinkNodeId:27, sId:1, number:2
time:49.000000, sinkNodeId:27, sId:1, number:1
time:49.000000, sinkNodeId:27, sId:2, number:1
time:49.000000, sinkNodeId:27, sId:1, number:1
time:49.000000, sinkNodeId:27, sId:1, number:1
time:50.000000, sinkNodeId:27, sId:1, number:1
time:50.000000, sinkNodeId:27, sId:2, number:1
time:50.000000, sinkNodeId:27, sId:1, number:2
time:51.000000, sinkNodeId:27, sId:1, number:1
time:51.000000, sinkNodeId:27, sId:2, number:1
time:51.000000, sinkNodeId:27, sId:1, number:2
time:51.000000, sinkNodeId:27, sId:1, number:1
time:52.000000, sinkNodeId:27, sId:1, number:1
time:52.000000, sinkNodeId:27, sId:2, number:1
time:52.000000, sinkNodeId:27, sId:1, number:2
time:52.000000, sinkNodeId:27, sId:1, number:1
time:53.000000, sinkNodeId:27, sId:1, number:1
time:53.000000, sinkNodeId:27, sId:2, number:1
time:53.000000, sinkNodeId:27, sId:1, number:2
time:53.000000, sinkNodeId:27, sId:2, number:1
time:53.000000, sinkNodeId:27, sId:1, number:1
time:54.000000, sinkNodeId:27, sId:1, number:1
time:54.000000, sinkNodeId:27, sId:2, number:1
time:54.000000, sinkNodeId:27, sId:1, number:2
time:54.000000, sinkNodeId:27, sId:2, number:1
time:54.000000, sinkNodeId:27, sId:1, number:1
time:55.000000, sinkNodeId:27, sId:1, number:1
time:55.000000, sinkNodeId:27, sId:2, number:1
time:55.000000, sinkNodeId:27, sId:2, number:2
time:55.000000, sinkNodeId:27, sId:1, number:1
time:56.000000, sinkNodeId:27, sId:1, number:1
time:56.000000, sinkNodeId:27, sId:2, number:1
time:56.000000, sinkNodeId:27, sId:2, number:2
time:56.000000, sinkNodeId:27, sId:1, number:1
time:56.000000, sinkNodeId:27, sId:1, number:1
time:57.000000, sinkNodeId:27, sId:1, number:1
time:57.000000, sinkNodeId:27, sId:2, number:1
time:57.000000, sinkNodeId:27, sId:2, number:2
time:57.000000, sinkNodeId:27, sId:1, number:1
time:57.000000, sinkNodeId:27, sId:1, number:1
time:58.000000, sinkNodeId:27, sId:1, number:1
time:58.000000, sinkNodeId:27, sId:2, number:1
time:58.000000, sinkNodeId:27, sId:2, number:2
time:58.000000, sinkNodeId:27, sId:1, number:1
time:58.000000, sinkNodeId:27, sId:1, number:1
time:59.000000, sinkNodeId:27, sId:1, number:1
time:59.000000, sinkNodeId:27, sId:2, number:1
time:59.000000, sinkNodeId:27, sId:2, number:2
time:59.000000, sinkNodeId:27, sId:1, number:1
time:60.000000, sinkNodeId:27, sId:1, number:1
time:60.000000, sinkNodeId:27, sId:2, number:1
time:60.000000, sinkNodeId:27, sId:2, number:2
time:60.000000, sinkNodeId:27, sId:1, number:1
time:61.000000, sinkNodeId:27, sId:1, number:11
time:61.000000, sinkNodeId:27, sId:2, number:1
time:61.000000, sinkNodeId:27, sId:1, number:1
time:61.000000, sinkNodeId:27, sId:2, number:1
time:61.000000, sinkNodeId:27, sId:1, number:1
time:62.000000, sinkNodeId:27, sId:1, number:9
time:62.000000, sinkNodeId:27, sId:2, number:1
time:62.000000, sinkNodeId:27, sId:2, number:1
time:62.000000, sinkNodeId:27, sId:1, number:1
time:62.000000, sinkNodeId:27, sId:2, number:1
time:62.000000, sinkNodeId:27, sId:1, number:1
time:63.000000, sinkNodeId:27, sId:1, number:8
time:63.000000, sinkNodeId:27, sId:2, number:2
time:63.000000, sinkNodeId:27, sId:2, number:1
time:63.000000, sinkNodeId:27, sId:1, number:1
time:63.000000, sinkNodeId:27, sId:1, number:1
time:63.000000, sinkNodeId:27, sId:1, number:1
time:64.000000, sinkNodeId:27, sId:1, number:8
time:64.000000, sinkNodeId:27, sId:2, number:2
time:64.000000, sinkNodeId:27, sId:2, number:1
time:64.000000, sinkNodeId:27, sId:1, number:1
time:64.000000, sinkNodeId:27, sId:1, number:1
time:64.000000, sinkNodeId:27, sId:1, number:1
time:65.000000, sinkNodeId:27, sId:1, number:6
time:65.000000, sinkNodeId:27, sId:2, number:1
time:65.000000, sinkNodeId:27, sId:2, number:1
time:65.000000, sinkNodeId:27, sId:1, number:1
time:65.000000, sinkNodeId:27, sId:1, number:1
time:65.000000, sinkNodeId:27, sId:1, number:1
time:66.000000, sinkNodeId:27, sId:1, number:6
time:66.000000, sinkNodeId:27, sId:2, number:1
time:66.000000, sinkNodeId:27, sId:2, number:1
time:66.000000, sinkNodeId:27, sId:1, number:1
time:66.000000, sinkNodeId:27, sId:1, number:1
time:66.000000, sinkNodeId:27, sId:1, number:1
time:67.000000, sinkNodeId:27, sId:1, number:7
time:67.000000, sinkNodeId:27, sId:2, number:1
